Generation,FamilyID,M2BW_PD00,SurRate_PD00,gAnimalEBV_PD00,sAnimalEBV_PD00,gStdAnimalEBV_PD00,sStdAnimalEBV_PD00,gStdAnimalEBV,sStdAnimalEBV,SelIndex,FamilyClass,SireID,DamID,EnvLabel,TankID,M2Age2,M1BW,M2BW,ADG,M2BL,gAnimalEBV,SurRate,sAnimalEBV,sReSurRate,Inbreeding,M2BWAllEnvs
G02,MRYGY18G0202021,38.52232558,0.724868217,5.558106512,0.1068264,0.501577774,0.50171758,0.501577774,0.50171758,70.477445,NP/T2G00,MRYGY17G010D620,MRYGY17G000B158,PD00,P11,157,1.19,37.60672269,0.379159664,11.13529412,5.57092437,0.793333333,0.1068264,0.510950827,0,38.52232558
G02,MRYGY18G0202031,53.86201923,0.69974359,9.6425625,0.1411782,0.507232452,0.503084725,0.507232452,0.503084725,94.99251403,NP/T1G01,MRYGY17G010F270,MRYGY17G010B303,PD00,P10,178,1.55,56.02021277,0.486170213,12.44893617,9.774418085,0.626666667,0.1411782,0.524640899,0,53.86201923
G02,MRYGY18G0202031,53.86201923,0.69974359,9.6425625,0.1411782,0.507232452,0.503084725,0.507232452,0.503084725,94.99251403,NP/T1G01,MRYGY17G010F270,MRYGY17G010B303,PD00,P11,164,1.54,52.08245614,0.515526316,12.0245614,9.533839474,0.76,0.1411782,0.524640899,0,53.86201923
G02,MRYGY18G0202032,47.1056701,0.646735395,8.959894845,0.0269743,0.506287444,0.498539534,0.506287444,0.498539534,83.62808962,NP/T1G01,MRYGY17G010F270,MRYGY17G010C348,PD00,P10,172,1.15,48.53854167,0.426875,12.06354167,9.0963,0.64,0.0269743,0.479105385,0,47.1056701
G02,MRYGY18G0202032,47.1056701,0.646735395,8.959894845,0.0269743,0.506287444,0.498539534,0.506287444,0.498539534,83.62808962,NP/T1G01,MRYGY17G010F270,MRYGY17G010C348,PD00,P11,158,1.28,45.70204082,0.457959184,11.68061224,8.826273469,0.653333333,0.0269743,0.479105385,0,47.1056701
G02,MRYGY18G0202041,48.84518072,0.573895582,6.397550602,-0.0171957,0.502739997,0.49678164,0.502739997,0.49678164,66.73304497,NP/T1G01,MRYGY17G010A821,MRYGY17G010B176,PD00,P10,178,1.36,50.31492537,0.437164179,11.91044776,6.189150746,0.446666667,-0.0171957,0.461534338,0,48.84518072
G02,MRYGY18G0202041,48.84518072,0.573895582,6.397550602,-0.0171957,0.502739997,0.49678164,0.502739997,0.49678164,66.73304497,NP/T1G01,MRYGY17G010A821,MRYGY17G010B176,PD00,P11,164,1.66,47.85050505,0.471313131,11.68888889,6.538588889,0.66,-0.0171957,0.461534338,0,48.84518072
G02,MRYGY18G0202051,40.45611111,0.602666667,6.119399876,0.1319585,0.502354917,0.5027178,0.502354917,0.5027178,75.21424721,NP/T2G00,MRYGY17G010D686,MRYGY17G000C441,PD00,P10,165,1.15,40.5452381,0.365119048,11.33333333,5.960964019,0.56,0.1319585,0.520968795,0,40.45611111
G02,MRYGY18G0202051,40.45611111,0.602666667,6.119399876,0.1319585,0.502354917,0.5027178,0.502354917,0.5027178,75.21424721,NP/T2G00,MRYGY17G010D686,MRYGY17G000C441,PD00,P11,151,1.36,40.378125,0.415104167,11.290625,6.25803125,0.64,0.1319585,0.520968795,0,40.45611111
G02,MRYGY18G0202061,37.53298429,0.639616056,5.392422513,0.0985235,0.501348368,0.501387134,0.501348368,0.501387134,69.01993568,NP/T2G00,MRYGY17G010D870,MRYGY17G000B615,PD00,P10,163,1.04,39.96966292,0.360786517,11.36516854,5.457055056,0.593333333,0.0985235,0.507639358,0,37.53298429
G02,MRYGY18G0202061,37.53298429,0.639616056,5.392422513,0.0985235,0.501348368,0.501387134,0.501348368,0.501387134,69.01993568,NP/T2G00,MRYGY17G010D870,MRYGY17G000B615,PD00,P11,149,1.11,35.40686275,0.364803922,10.86862745,5.336027451,0.68,0.0985235,0.507639358,0,37.53298429
G02,MRYGY18G0202071,29.28545455,0.553414141,4.508812058,-0.0863784,0.500124946,0.494028457,0.500124946,0.494028457,51.82511886,NP/T2G00,MRYGY17G010D840,MRYGY17G000C345,PD00,P10,155,0.96,29.64736842,0.273421053,10.30394737,4.459802495,0.506666667,-0.0863784,0.434176179,0,29.28545455
G02,MRYGY18G0202071,29.28545455,0.553414141,4.508812058,-0.0863784,0.500124946,0.494028457,0.500124946,0.494028457,51.82511886,NP/T2G00,MRYGY17G010D840,MRYGY17G000C345,PD00,P11,141,0.92,28.97640449,0.307977528,10.14719101,4.550662921,0.593333333,-0.0863784,0.434176179,0,29.28545455
G02,MRYGY18G0202091,48.21648936,0.647163121,5.691592021,0.0015978,0.501762578,0.497529583,0.501762578,0.497529583,64.15264305,NP/T1G01,MRYGY17G010A666,MRYGY17G010B015,PD00,P10,183,1.31,48.47532468,0.417662338,12.00649351,5.60085974,0.513333333,0.0015978,0.469003318,0,48.21648936
G02,MRYGY18G0202091,48.21648936,0.647163121,5.691592021,0.0015978,0.501762578,0.497529583,0.501762578,0.497529583,64.15264305,NP/T1G01,MRYGY17G010A666,MRYGY17G010B015,PD00,P11,169,1.97,48.03693694,0.465765766,11.86936937,5.754532432,0.74,0.0015978,0.469003318,0,48.21648936
G02,MRYGY18G0202101,29.72401961,0.686535948,-2.64227599,0.1382636,0.490225188,0.502968731,0.490225188,0.502968731,27.98723545,NP/T2G00,MRYGY17G010D072,MRYGY17G000C675,PD00,P10,168,0.77,25.975,0.231195652,9.589130435,-3.173050358,0.613333333,0.1382636,0.523480258,0,29.72401961
G02,MRYGY18G0202101,29.72401961,0.686535948,-2.64227599,0.1382636,0.490225188,0.502968731,0.490225188,0.502968731,27.98723545,NP/T2G00,MRYGY17G010D072,MRYGY17G000C675,PD00,P11,154,1.17,32.80357143,0.332857143,10.35714286,-2.206282759,0.746666667,0.1382636,0.523480258,0,29.72401961
G02,MRYGY18G0202111,39.85617021,0.785049645,0.276228709,0.2642259,0.494264852,0.507981298,0.494264852,0.507981298,52.2953194,NP/T1G01,MRYGY17G010D647,MRYGY17G010E055,PD00,P10,177,1.28,42.80178571,0.37375,11.39553571,0.381548976,0.746666667,0.2642259,0.573327675,0,39.85617021
G02,MRYGY18G0202111,39.85617021,0.785049645,0.276228709,0.2642259,0.494264852,0.507981298,0.494264852,0.507981298,52.2953194,NP/T1G01,MRYGY17G010D647,MRYGY17G010E055,PD00,P11,163,1.54,37.17398374,0.366910569,10.99349593,0.180327328,0.82,0.2642259,0.573327675,0,39.85617021
G02,MRYGY18G0202121,43.70050505,0.66026936,7.260010101,0.1031477,0.503934113,0.501571172,0.503934113,0.501571172,79.4874122,T2G00/NP,MRYGY17G000F146,MRYGY17G010B213,PD00,P10,164,1.27,45.00412371,0.405257732,11.73505155,7.269126804,0.646666667,0.1031477,0.50948372,0,43.70050505
G02,MRYGY18G0202121,43.70050505,0.66026936,7.260010101,0.1031477,0.503934113,0.501571172,0.503934113,0.501571172,79.4874122,T2G00/NP,MRYGY17G000F146,MRYGY17G010B213,PD00,P11,150,1.4,42.44851485,0.436930693,11.4980198,7.251254455,0.673333333,0.1031477,0.50948372,0,43.70050505
G02,MRYGY18G0202131,38.78055556,0.723024691,7.557738426,0.1406093,0.504346276,0.503062084,0.504346276,0.503062084,83.61656985,T1G01/NP,MRYGY17G010D358,MRYGY17G010B129,PD00,P10,159,1.27,39.68434783,0.362956522,11.24869565,7.607586087,0.766666667,0.1406093,0.52441437,0,38.78055556
G02,MRYGY18G0202131,38.78055556,0.723024691,7.557738426,0.1406093,0.504346276,0.503062084,0.504346276,0.503062084,83.61656985,T1G01/NP,MRYGY17G010D358,MRYGY17G010B129,PD00,P11,145,1.43,37.75148515,0.395247525,11.04851485,7.500981188,0.673333333,0.1406093,0.52441437,0,38.78055556
G02,MRYGY18G0202141,47.85081967,0.613078324,10.47865137,0.0083746,0.508389823,0.497799289,0.508389823,0.497799289,90.64065638,T1G01/NP,MRYGY17G010D249,MRYGY17G010E187,PD00,P10,169,1.29,51.83411765,0.463882353,12.12588235,10.71408471,0.566666667,0.0083746,0.471699395,0,47.85081967
G02,MRYGY18G0202141,47.85081967,0.613078324,10.47865137,0.0083746,0.508389823,0.497799289,0.508389823,0.497799289,90.64065638,T1G01/NP,MRYGY17G010D249,MRYGY17G010E187,PD00,P11,155,1.45,44.39591837,0.452142857,11.66122449,10.27444898,0.653333333,0.0083746,0.471699395,0,47.85081967
G02,MRYGY18G0202151,37.36770428,0.86612192,3.870171569,0.3725324,0.499240695,0.512290022,0.499240695,0.512290022,79.09605364,T2G00/NP,MRYGY17G000D388,MRYGY17G010B298,PD00,P10,163,1.33,39.21126761,0.354225352,11.16690141,4.020978873,0.946666667,0.3725324,0.615299728,0,37.36770428
